Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
1/18/2007,5467.346191,27572.51172,2874.897461,3750.788086,954.294189,839.819519,2446.874512,2428.869629,1060.950684,12373.32422,4378.373047,6495.816895,9619.914063,2353.419434,14040.21484,967.766663,2428.869629,10350.5957,849.769714,4989.066895
1/19/2007,5441.031738,26540.53125,2896.637207,3750.788086,947.667053,871.052551,2416.288086,2352.533936,1060.950684,12051.09961,4240.282227,6358.581055,9535.774414,2353.419434,13747.11621,951.243896,2352.533936,10350.5957,827.294739,4820.504883
1/22/2007,5568.961426,26788.63086,2947.944092,3849.719727,931.762329,853.700989,2446.874512,2359.473145,1074.819214,12276.65918,4240.282227,6472.945313,9690.03125,2359.992188,13976.63086,955.49231,2359.473145,10379.50977,843.704956,4897.037109
1/23/2007,5493.661133,27340.89258,2967.945068,3956.822754,922.484436,853.700989,2460.468262,2320.919678,1102.556641,12379.76856,4127.344238,6450.070801,9740.514648,2356.04834,14048.69434,939.441711,2320.919678,10362.16309,843.704956,4853.442383
1/24/2007,5445.080566,28132.18555,3008.815674,3937.896973,927.785889,871.052551,2446.874512,2313.209473,1109.490723,12856.65625,4183.811523,6450.070801,9971.057617,2359.86084,14654.27051,939.441711,2313.209473,10378.92871,835.856506,4843.755371
1/25/2007,5406.621094,28601.19336,3043.600342,3931.874512,934.413086,881.46344,2446.874512,2293.932373,1106.02356,13178.87695,4247.981934,6454.644531,9970.496094,2308.717529,14845.62891,937.081238,2293.932373,10153.99316,817.305969,4800.161621
1/26/2007,5374.234863,27926.125,3026.208008,3935.74585,934.413086,874.522644,2440.078125,2282.366943,1095.62207,13533.32129,4235.148926,6453.729492,9905.988281,2288.338379,14727.54102,939.441711,2282.366943,10064.36133,829.435364,4815.177734
1/29/2007,5333.751465,28140.42188,3007.946777,3914.239502,917.1828,872.440552,2446.874512,2313.209473,1081.753662,13533.32129,4240.282227,6358.581055,10096.70606,2287.680664,14712.40137,939.441711,2313.209473,10061.47363,814.095154,4771.583496
1/30/2007,5465.32373,27736.53711,3021.860352,3900.905029,941.039978,871.052551,2446.874512,2312.438232,1092.155029,13275.54297,4357.837891,6404.327637,10349.12305,2345.531006,14836.54395,941.330139,2312.438232,10315.89844,824.083923,4805.004395
1/31/2007,5362.088379,28189.88477,3004.468018,3917.680664,941.039978,874.522644,2480.858887,2313.209473,1102.556641,13375.43359,4450.755859,6312.836914,10213.93848,2346.844727,14863.79199,948.883484,2313.209473,10321.68457,820.516663,4795.317871
2/1/2007,5501.757324,28437.16406,3017.511719,4023.923828,941.039978,881.46344,2484.25708,2198.319824,1102.556641,13952.20996,4502.090332,6359.039063,10096.70606,2312.003418,14884.99219,953.604431,2198.319824,10168.44922,841.921265,4964.848145
2/2/2007,5505.806152,28189.88477,2991.424072,4107.800781,947.004456,867.582275,2548.827148,2274.655762,1102.556641,13597.76465,4466.155762,6407.072266,10320.51074,2319.234619,14939.49121,951.243896,2274.655762,10200.25195,833.716064,4887.349609
2/5/2007,5384.355469,27901.39063,2917.507813,4116.402832,954.294189,850.230774,2548.827148,2290.848145,1092.155029,13211.10156,4401.986328,6267.091797,10326.68359,2359.992188,15078.77344,946.995117,2290.848145,10379.50977,814.808533,4855.864258
2/6/2007,5491.637207,28025.03711,2879.245361,4153.395508,967.548157,846.760132,2548.827148,2259.234375,1067.884766,13566.1875,4465.642578,6488.498047,10432.13965,2399.435791,15259.83887,948.883484,2259.234375,10552.98145,841.207825,4964.848145
2/7/2007,5408.644531,28025.03711,2869.680176,4172.321289,967.548157,853.700989,2514.842773,2229.932861,1074.125732,13404.43457,4466.669434,6427.199219,10488.79395,2379.713867,14957.65527,944.162598,2229.932861,10466.24316,831.218872,4899.457031
2/8/2007,5364.112793,27901.39063,2888.811279,4140.061523,954.294189,857.171204,2474.062012,2182.126709,1072.738892,13017.76758,4456.40332,6312.836914,10545.44629,2346.844727,14639.7334,941.330139,2182.126709,10321.68457,799.825195,4812.27002
2/9/2007,5319.580078,28725.66016,2974.031982,4129.307617,943.028198,864.111755,2474.062012,2182.126709,1067.884766,12985.54492,4458.456055,6221.804199,10378.29004,2300.039551,14791.12988,944.162598,2182.126709,10115.83106,806.603333,4746.880371
2/12/2007,5283.145508,29038.87891,2930.552002,3918.540039,940.377319,862.723877,2514.842773,2182.126709,1067.884766,13243.32129,4415.333984,6049.800781,10264.98242,2291.098877,14836.54395,961.629578,2182.126709,10076.50977,814.095154,4679.067383
2/13/2007,5258.85498,28766.04492,2913.159668,3918.540039,936.931213,867.582275,2501.249023,2247.667969,1064.417603,13984.43457,4430.73584,6061.236816,10293.03027,2323.83667,15048.49121,968.239075,2247.667969,10220.49023,815.165344,4744.458496
