ABG,ANG,ANH,ARI,CLH,FBR,MSM,MTN,NPN,SOL
Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close
2019/04/11,13381.72363,17511.70508,122591.1172,12542.99609,2347.941162,8113.222168,7950,8612.527344,230045.9063,44204.86328
2019/04/12,13259.83594,17239.91992,123134.3047,12476.50098,2330.718262,8144.498535,8000,8721.661133,231013.0625,44614.07813
2019/04/15,13656.3877,17105.44922,124213.7031,12197.65723,2330.718262,8356.59082,7970,8766.387695,225865.1406,44296.64844
2019/04/16,13434.31836,17649.9668,124822.4297,12468.63574,2387.474609,8518.834961,8065,9114.358398,231045.25,45369.40625
2019/04/17,13605.46191,17079.87891,123463.9766,12690.99609,2386.49585,8581.387695,8580,9170.714844,232947.3906,45358.88672
2019/04/18,13715.66211,17410.37695,125180.9141,12663.82715,2387.670166,8237.349609,8950,9419.393555,232966.0469,44727.85547
2019/04/23,13671.41504,17015.48438,128099.3828,12762.49414,2387.670166,8307.72168,8920,9371.088867,236418.375,46609.48047
2019/04/24,13377.54883,17093.13672,127801.4844,12756.05957,2312.125977,8209.983398,8862,9146.5625,238760.0469,45925.86328
2019/04/25,13206.40527,17164.16016,124425.2266,12851.86816,2341.678223,8209.983398,9000,9153.717773,235799.9844,46090.3125
2019/04/26,13439.32813,16996.54297,124822.4297,12690.99609,2348.528076,8246.145508,9039,9303.105469,237641.0156,45866.58203
2019/04/29,13542.01367,16288.19531,124978.3203,12369.25293,2348.528076,8358.544922,9109,9248.538086,237153.9063,45551.06641
2019/04/30,13713.15723,16317.55469,127070.625,12159.04688,2347.35376,8227.576172,9422,9246.749023,235202.1875,45366.53516
2019/05/02,14079.65332,15749.36035,127162.9766,11725.76563,2346.570801,8186.526367,9260,9258.378906,237499.4375,43871.17969
2019/05/03,14442.81152,15871.52148,126510.5625,12015.33496,2284.334961,8209.983398,9425,9419.393555,239529.6563,43981.13281
2019/05/06,14067.13086,15913.18945,126749.0703,11922.38574,2272.005127,8190.435547,9114,9272.69043,231592.8594,43474.39063
2019/05/07,13952.75684,16213.38477,121990.0156,11976.72559,2247.345703,8014.507324,8750,9253.905273,228009.9063,42902.63672
2019/05/09,13491.08789,15979.47852,119448.8672,11796.54785,2250.477051,8014.507324,8605,8982.863281,219430.2344,41630.05469
2019/05/10,13954.42676,15515.45508,117791.8984,11750.79102,2227.383301,8247.124023,8757,8693.930664,220401.9063,42068.91016
2019/05/13,14066.2959,15819.43848,117350.3047,11343.24805,2211.530762,8482.671875,8600,8837.949219,215891.0313,42452.30859
2019/05/14,14250.79688,15695.38281,117327.4297,11191.67188,2192.937988,8442.598633,8437,8792.328125,215571.2188,42169.30078
2019/05/15,14082.99316,16029.66895,117956.9922,11426.90039,2201.744873,8367.34082,8268,8902.355469,213252.7344,41440.74219
2019/05/16,14154.78809,15456.74121,119151.4844,11654.2666,2202.136719,8404.481445,8303,9003.4375,217178.0156,41388.15625
2019/05/17,13992.8291,15479.46875,118964.5,11511.98535,2211.530762,8215.847656,8150,8946.1875,213580.8906,40920.61719
2019/05/20,14113.88379,15770.19531,116611.3359,11457.64648,2209.182129,8118.109375,7820,8945.292969,206560.4219,41492.37109
2019/05/21,13708.14941,15888.56738,116110.0703,11432.62109,2201.940918,8254.942383,7669,9141.194336,206731.5938,41208.40625
2019/05/22,13875.11719,16064.70996,116593.4219,11411.8877,2181.782471,8112.245117,7800,9049.057617,206109.9844,35854.18359
2019/05/23,13461.03418,16225.69629,118604.4688,11579.19434,2172.388428,8109.312988,6775,8958.710938,201155.1094,33803.32422
2019/05/24,13425.13477,15720.95215,118571.6406,11700.74121,2143.031738,8139.612305,6587,8972.12793,201267.7188,34085.375
2019/05/27,13454.35449,15598.79004,119585.1094,11627.09668,2113.675293,8063.376465,6618,8900.566406,201049.5625,34048.08984
2019/05/28,13219.76367,16271.15234,120752.7578,11884.49219,2080.795898,8004.733887,6400,8676.93457,199180.2188,35280.51563
2019/05/29,13570.39746,16543.88281,118568.6563,11649.97754,2105.063965,7819.031738,6399,8927.402344,207287.5781,35225.0625
2019/05/30,14081.32227,17027.79297,120495.1563,11821.57422,2152.817383,7741.818848,6365,9061.581055,210431.6719,36141.01563
2019/05/31,14108.87207,18435.9668,116417.3906,11793.69043,2133.246338,8136.680176,6735,9181.448242,210782.375,35050.09375
2019/06/03,14467.02148,19100.75391,117081.7578,11997.45996,2108.978271,7978.344238,6608,9371.983398,215569.2969,35044.35547
2019/06/04,13857.58398,19735.23242,122022.8359,11883.77734,2057.506348,7818.054199,6456,9334.413086,217016.5,35688.77734
2019/06/05,13900.16211,20568.58398,123766.3281,12254.14063,2057.506348,7822.941406,6185,9490.955078,218461.7813,35699.29297
2019/06/06,13738.20215,20858.36328,124698.2578,12315.62793,2006.62146,7917.746582,6256,9616.19043,217178.0156,35028.10156
2019/06/07,14192.3584,21128.25195,127161.8203,12651.67188,1966.89209,8011.575195,6426,9710.115234,222631.5938,36279.65234
2019/06/10,14446.98535,20142.43945,125913.6328,12425.02246,1983.527588,8014.507324,6637,9848.766602,226180.4375,36467.05078
2019/06/11,14542.99316,20106.45313,125406.3984,12690.99609,2016.798706,8025.258789,6700,9884.548828,225221.6563,36289.21484
2019/06/12,14517.11231,21335.64453,127835.1484,12626.64844,1980.005005,7916.769531,6640,9895.282227,222742.2656,35184.90625
2019/06/13,14406.91211,21710.64844,127306.0313,13041.33984,2089.994385,7902.108887,6347,9565.201172,224256.3906,34850.26563
2019/06/14,14357.65625,22509.9082,124030.8828,12953.39648,2069.835938,7946.09082,6300,9548.206055,221903.1719,34133.18359
2019/06/18,14570.54199,21293.97656,125287.0391,12798.24414,2054.961914,7867.900879,6538,9515.107422,226274.3906,34204.89063
2019/06/19,14877.7666,21322.38672,126460.6328,12640.94727,2108.782471,7916.769531,6600,9634.974609,222915.3594,34224.01172
2019/06/20,14993.80664,22916.16797,127529.7969,12579.45996,2113.871094,7877.674805,6545,9647.498047,223805.9531,35089.29297
2019/06/21,15150.75879,22916.16797,128409.0156,12751.05469,2142.640381,8306.743164,6440,9868.447266,221463.0156,35573.08594
2019/06/24,14985.45996,23726.78906,128847.6328,13012.02441,2103.889893,7932.407715,6350,9760.208984,220943.0781,34903.80859
2019/06/25,14784.26074,23609.36133,126517.3281,13368.08789,2133.246338,8148.408691,6235,9573.25293,216856.2656,33478.24609
2019/06/26,14942.88281,23374.50977,125232.3438,13173.61231,2132.85498,8112.245117,6315,9515.107422,220109.1094,33487.80859
2019/06/27,14725.82324,23981.53125,122175.0078,13087.09766,2045.176636,8288.173828,6319,9618.873047,216833.75,33521.26953
2019/06/28,14693.26563,24054.44727,123902.5938,13024.89453,2010.144287,8408.391602,6220,9549.100586,220042.8281,33483.98438
2019/07/01,14567.2041,22423.73242,124322.3047,13586.87402,2015.232788,8506.128906,6297,9413.132813,226457.1563,33210.53516
2019/07/02,14307.56543,23195.5293,126695.3672,13442.44824,2006.034424,8582.365234,6206,9372.87793,223612.9219,32573.76367
2019/07/03,14245.78711,23674.70508,131730.9219,13411.70215,2006.034424,8798.875977,6320,9303.105469,223934.6563,33055.64453
2019/07/04,14143.10254,23778.875,130787.0625,13083.52441,2051.047852,8852.262695,6431,9297.737305,221898.0156,33081.46094
2019/07/05,14108.87207,23431.32813,130460.8359,12512.96582,2056.919189,8945.195313,6397,9276.267578,224054.3438,32982.98047
2019/07/08,14155.625,24042.13477,130075.9375,13030.61426,2006.034424,9016.376953,6328,9290.581055,222197.25,32870.16016
2019/07/09,13870.1084,23765.61523,129652.2422,12765.35547,2015.819824,8633.774414,6250,9137.617188,218786.75,32029.73633
2019/07/10,14093.01172,24223.95703,127306.0313,12850.43848,2015.819824,9053.945313,6330,9271.795898,223361.9531,32165.50391
2019/07/11,14167.3125,24014.67383,124394.8984,12570.16406,2016.015625,8765.262695,6330,9124.199219,222895.4219,31106.13281
2019/07/12,14160.63281,23905.76953,123258.0938,12447.90137,2094.104248,9194.332031,6435,9210.967773,219152.8906,31281.10156
2019/07/15,14075.47852,23980.58008,122098.4297,12941.24219,2100.171387,9046.036133,6357,9482.010742,224488.7188,31255.28711
